2026-04-12 19:56:00 - network_monitor - INFO - Network Monitor starting
2026-04-12 19:56:00 - network_monitor - INFO - Input file: traffic_sample.log
2026-04-12 19:56:00 - network_monitor - INFO - Output file: results.json
2026-04-12 19:56:00 - network_monitor - INFO - Loading traffic log: traffic_sample.log
2026-04-12 19:56:00 - network_monitor - INFO - Loaded 151 lines from file
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 2: 192.168.1.10 -> 10.0.0.1:80
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 3: 192.168.1.10 -> 10.0.0.1:80
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 4: 192.168.1.10 -> 10.0.0.1:443
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 5: 192.168.1.20 -> 10.0.0.1:53
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 6: 192.168.1.20 -> 10.0.0.1:53
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 7: 10.0.1.99 -> 10.0.0.5:22
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 8: 10.0.1.99 -> 10.0.0.5:23
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 9: 10.0.1.99 -> 10.0.0.5:25
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 10: 10.0.1.99 -> 10.0.0.5:80
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 11: 10.0.1.99 -> 10.0.0.5:443
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 12: 10.0.1.99 -> 10.0.0.5:3306
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 13: 10.0.1.99 -> 10.0.0.5:5432
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 14: 10.0.1.99 -> 10.0.0.5:8080
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 15: 10.0.1.99 -> 10.0.0.5:8443
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 16: 10.0.1.99 -> 10.0.0.5:9200
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 17: 10.0.1.99 -> 10.0.0.5:27017
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 18: 10.0.1.99 -> 10.0.0.5:6379
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 19: 10.0.1.99 -> 10.0.0.5:21
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 20: 10.0.1.99 -> 10.0.0.5:110
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 21: 10.0.1.99 -> 10.0.0.5:143
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 22: 10.0.1.99 -> 10.0.0.5:993
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 23: 10.0.1.99 -> 10.0.0.5:995
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 24: 10.0.1.99 -> 10.0.0.5:3389
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 25: 10.0.1.99 -> 10.0.0.5:5900
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 26: 10.0.1.99 -> 10.0.0.5:2222
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 27: 10.0.1.99 -> 10.0.0.5:8888
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 28: 10.0.1.99 -> 10.0.0.5:4444
2026-04-12 19:56:00 - network_monitor - DEBUG - Parsed packet 29: 10.0.1.99 -> 10.0.0.5:1433
